Team,Player,Tm,Pos,Original Pts,10/22 Season,11/22 Season,12/27 Season,2/7 Season,3/15 Season,4/18 Season,5/26 Season,8/15 Season,12/24 Season,4/2 Season,12/23 Season,4/1 Season,7/3 Season,2/28 Season,8/18 Season,2/28/25 Season,8/4/25 Season,Upcoming Season,ASG
,Ray Lankford,STL,LFRF,350,320,300,290,280,270,260,250,240,230,220,210,200,190,180,180,170,160,150,1
,Brad Ausmus (HOU),HOU,C,200,230,210,220,230,210,220,210,200,200,210,200,190,190,180,170,170,160,150,1
,Glendon Rusch,NYM,SP,360,330,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,0
,Rick Ankiel,STL,SP,340,310,290,280,270,260,250,240,240,230,220,210,200,200,190,180,170,160,150,0
,Delino DeShields,BAL,"2B,LFRF",320,290,270,260,250,240,230,220,220,230,220,210,200,190,180,170,170,160,150,0
,Travis Harper,TBD,SP,300,270,250,260,270,250,240,230,220,210,210,220,210,200,190,180,170,160,150,0
,Roger Cedeno,DET,LFRF,260,280,260,250,260,240,230,230,220,210,200,200,190,180,170,170,160,160,150,0
NY,Bob Wickman,CLE,RP,250,220,200,190,180,190,200,210,200,190,180,180,170,160,160,150,140,140,150,2
,Rod Beck,BOS,RP,220,200,210,220,200,190,200,190,180,180,170,160,150,150,160,170,160,150,140,3
,Brad Penny,FLA,SP,310,280,260,250,240,230,220,210,200,190,180,180,170,160,150,150,160,150,140,2
,Brad Radke,MIN,SP,350,320,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,1
,Shawn Estes,SFG,SP,350,320,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,1
,Kevin Appier (NYM),NYM,SP,330,300,280,270,260,270,250,240,230,220,210,200,190,190,180,170,160,150,140,1
,Adam Eaton,SDP,SP,350,320,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,0
,Bryan Rekar,TBD,SP,350,320,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,0
,Jamey Wright,MIL,SP,350,320,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,0
,Javier Vazquez,MON,SP,350,320,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,0
,Jeff Weaver,DET,SP,350,320,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,0
,Michael Tucker,CIN,LFRF,330,300,280,270,260,250,240,240,230,220,210,200,190,190,180,170,160,150,140,0
,Joey Hamilton,TOR,SP,280,250,230,220,210,200,190,180,170,160,150,140,130,130,140,150,160,150,140,0
,Geraldo Guzman,ARI,SP,270,260,270,250,240,230,240,230,220,210,200,190,180,180,170,160,150,150,140,0
,Bob Wells,MIN,RP,210,200,180,170,180,190,170,170,180,170,160,150,150,140,140,150,160,150,140,0
BOS,Dave Hansen,LAD,DH,310,280,260,250,240,230,220,210,210,200,190,190,180,180,170,160,150,140,140,0
AA,Jose Jimenez,COL,RP,260,230,210,200,210,220,200,190,190,200,190,180,170,160,160,150,150,140,140,0
NY,Chad Kreuter,LAD,C,240,230,240,250,230,220,210,200,200,210,200,190,180,170,160,160,150,140,140,0
BOS,Armando Benitez,NYM,RP,230,210,190,180,170,160,150,150,160,150,150,140,140,150,140,140,130,130,140,2
,Craig Biggio,HOU,2B,260,290,270,260,250,240,230,230,220,210,200,190,180,170,160,150,140,140,130,7
,Andy Ashby (ATL),ATL,SP,340,310,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,2
,Andy Ashby (LAD),LAD,SP,340,310,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,2
,Steve Finley,ARI,"CF,LFRF",340,310,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,2
,Brian Moehler,DET,SP,340,310,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,0
,Dan Reichert,KCR,SP,340,310,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,0
,Dave Burba,CLE,SP,340,310,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,0
,Gil Heredia,OAK,SP,340,310,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,0
,Kelvim Escobar,TOR,SP,340,310,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,0
,Tim Salmon,ANA,LFRF,340,310,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,0
,Paul Rigdon,MIL,SP,290,280,260,250,260,270,250,240,230,220,210,200,190,180,170,160,150,140,130,0
,Rich Becker,DET,"CF,LFRF",280,260,240,250,230,220,210,200,200,210,200,190,180,170,170,160,150,140,130,0
,Jerry Hairston Jr.,BAL,2B,240,250,230,220,230,240,220,210,200,190,180,170,170,180,170,160,150,140,130,0
BOS,Ben Sheets,MIL,SP,290,260,240,230,240,220,210,200,200,190,180,170,170,160,150,140,140,130,130,4
,Todd Hundley (CHC),CHC,C,330,300,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,2
,Alex Ochoa,CIN,LFRF,330,300,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,0
,David Segui (CLE),CLE,1B,320,290,270,260,250,240,230,220,210,200,190,180,170,160,150,140,140,130,120,0
,Hideki Irabu,MON,SP,320,290,270,260,250,240,230,220,210,200,200,190,180,170,160,150,140,130,120,0
,Ramiro Mendoza,NYY,RP,290,260,240,230,220,210,200,190,180,170,160,150,150,140,130,120,120,130,120,0
,Scott Strickland,MON,RP,220,190,200,210,220,200,190,180,180,190,200,190,180,170,160,150,140,130,120,0
,Adrian Beltre,LAD,3B,280,250,230,220,230,240,220,210,200,190,180,170,160,150,140,130,130,120,110,4
,Esteban Loaiza,TOR,SP,320,290,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,2
,Tony Batista,TOR,3B,290,260,270,250,240,230,220,210,200,190,180,170,170,160,150,140,130,120,110,2
,Jamie Moyer,SEA,SP,320,290,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,1
,Damion Easley,DET,2B,280,260,270,250,240,230,220,210,200,190,180,180,170,160,150,140,130,120,110,1
,Erubiel Durazo,ARI,"1B,LFRF",320,290,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,0
,Kirk Rueter,SFG,SP,320,290,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,0
,Mac Suzuki,KCR,SP,320,290,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,0
,Tomokazu Ohka,BOS,SP,320,290,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,0
,Trenidad Hubbard,BAL,DH,320,290,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,0
,Frank Catalanotto,TEX,"1B,2B",300,270,250,240,250,230,220,210,200,190,180,170,160,160,150,140,130,120,110,0
,Mark Grace (ARI),ARI,1B,300,270,250,240,250,230,220,210,200,190,180,170,160,160,150,140,130,120,110,0
,Jose Santiago,KCR,RP,290,260,240,230,220,210,200,190,180,170,160,150,140,140,150,140,130,120,110,0
,Rusty Greer,TEX,LFRF,270,250,230,220,210,200,190,180,180,190,180,170,160,160,150,140,130,120,110,0
NY,Jim Thome,CLE,1B,310,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,110,5
,Tony Gwynn,SDP,LFRF,260,250,230,220,210,200,190,180,170,160,150,150,160,150,140,130,120,110,100,15
,Kenny Lofton,CLE,"CF,LFRF",290,260,240,230,220,210,220,210,200,190,180,170,160,150,140,130,120,110,100,6
,Greg Vaughn,TBD,LFRF,300,270,250,240,230,220,210,200,190,180,170,160,150,140,130,120,120,110,100,4
,Richie Sexson,MIL,"1B,LFRF",300,270,250,240,230,220,210,200,200,190,180,170,160,150,140,130,120,110,100,2
,Shawn Green,LAD,LFRF,280,260,240,230,220,210,200,190,190,180,170,160,150,140,130,120,120,110,100,2
,Jay Buhner,SEA,LFRF,310,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,1
,Kevin Appier (OAK),OAK,SP,310,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,1
,Fernando Vina,STL,2B,240,260,240,230,220,210,200,190,180,180,170,160,150,140,140,130,120,110,100,1
,Armando Reynoso,ARI,SP,310,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,0
,Brian Anderson,ARI,SP,310,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,0
,Jose Mercedes,BAL,SP,310,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,0
,Kevin Tapani,CHC,SP,310,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,0
,David Segui (BAL),BAL,1B,300,270,250,240,230,220,210,200,190,180,170,160,150,140,140,130,120,110,100,0
BOS,Kevin Walker,SDP,RP,220,200,180,170,160,150,140,130,120,120,130,140,130,120,110,100,90,90,100,0
,Andres Galarraga (ATL),ATL,1B,300,270,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,90,5
,Mike Lowell,FLA,3B,280,250,230,220,210,200,190,180,170,160,150,140,130,130,120,120,110,100,90,4
,Omar Vizquel,CLE,SS,250,220,200,190,180,170,180,170,160,160,170,160,150,140,130,120,110,100,90,3
,Rafael Furcal,ATL,SS,250,220,200,190,180,190,170,170,180,170,170,160,150,140,130,120,110,100,90,3
,Derek Lowe,BOS,RP,250,220,200,190,180,170,160,150,150,160,170,160,150,140,130,120,110,100,90,2
,Jon Garland,CHW,SP,270,260,240,230,220,210,200,190,180,170,160,150,150,140,130,120,110,100,90,1
